window_id,split,lake_name,target_datetime,length,window_days,target_raw,coeff_shape
seasonal_rollout_000123,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-02 12:00:00,8,7,0.7451,"(1, 7, 44)"
seasonal_rollout_000124,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-03 12:00:00,8,7,0.7477,"(1, 7, 44)"
seasonal_rollout_000125,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-04 12:00:00,8,7,0.7532,"(1, 7, 44)"
seasonal_rollout_000126,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-05 12:00:00,8,7,0.756,"(1, 7, 44)"
seasonal_rollout_000127,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-06 12:00:00,8,7,0.7586,"(1, 7, 44)"
seasonal_rollout_000128,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-07 12:00:00,8,7,0.7631,"(1, 7, 44)"
seasonal_rollout_000129,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-08 12:00:00,8,7,0.7684,"(1, 7, 44)"
seasonal_rollout_000130,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-09 12:00:00,8,7,0.7737,"(1, 7, 44)"
seasonal_rollout_000131,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-10 12:00:00,8,7,0.7793,"(1, 7, 44)"
seasonal_rollout_000132,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-11 12:00:00,8,7,0.7846,"(1, 7, 44)"
seasonal_rollout_000133,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-12 12:00:00,8,7,0.7888,"(1, 7, 44)"
seasonal_rollout_000134,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-13 12:00:00,8,7,0.7928,"(1, 7, 44)"
seasonal_rollout_000135,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-14 12:00:00,8,7,0.7934,"(1, 7, 44)"
seasonal_rollout_000136,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-15 12:00:00,8,7,0.792,"(1, 7, 44)"
seasonal_rollout_000137,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-16 12:00:00,8,7,0.7919,"(1, 7, 44)"
seasonal_rollout_000138,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-17 12:00:00,8,7,0.7969,"(1, 7, 44)"
seasonal_rollout_000139,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-18 12:00:00,8,7,0.8003,"(1, 7, 44)"
seasonal_rollout_000140,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-19 12:00:00,8,7,0.8029,"(1, 7, 44)"
seasonal_rollout_000141,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-20 12:00:00,8,7,0.8053,"(1, 7, 44)"
seasonal_rollout_000142,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-21 12:00:00,8,7,0.8072,"(1, 7, 44)"
seasonal_rollout_000143,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-22 12:00:00,8,7,0.808,"(1, 7, 44)"
seasonal_rollout_000144,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-23 12:00:00,8,7,0.81,"(1, 7, 44)"
seasonal_rollout_000145,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-24 12:00:00,8,7,0.8028,"(1, 7, 44)"
seasonal_rollout_000146,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-25 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000147,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-26 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000148,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-27 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000149,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-02-28 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000150,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-01 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000151,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-02 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000152,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-03 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000153,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-04 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000154,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-05 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000155,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-06 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000156,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-07 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000157,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-08 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000158,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-09 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000159,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-10 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000160,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-11 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000161,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-12 12:00:00,8,7,,"(1, 7, 44)"
seasonal_rollout_000162,seasonal_rollout,【Li】Lake Xiaoxingkai,2026-03-13 12:00:00,8,7,,"(1, 7, 44)"
